"","Gene ID","Gene Name","A2058","A375","C32","Malme3M","SKMEL28","SKMEL5","WM2664"
"381","ENSG00000019485","PRDM11",1,2,2,1,0.8,1,3
"382","ENSG00000019505","SYT13",0.2,0.1,0,0.1,0.1,2,0.1
"383","ENSG00000019549","SNAI2",87,37,328,101,574,399,121
"384","ENSG00000019582","CD74",107,3106,1206,40,344,130,229
"385","ENSG00000019991","HGF",0.4,1,0.1,0,0,0.1,0
"386","ENSG00000019995","ZRANB1",14,21,14,15,12,10,13
"387","ENSG00000020129","NCDN",49,69,21,26,52,33,42
"388","ENSG00000020181","ADGRA2",24,7,2,22,4,9,20
"389","ENSG00000020219","CCT8L1P",0,0,0.1,0,0,0,0
"390","ENSG00000020256","ZFP64",9,15,13,11,15,8,10
"391","ENSG00000020426","MNAT1",20,32,19,18,14,14,24
"392","ENSG00000020577","SAMD4A",7,6,26,17,34,24,56
"393","ENSG00000020633","RUNX3",98,43,34,84,204,62,29
"394","ENSG00000020922","MRE11",21,33,14,12,16,14,26
"395","ENSG00000021300","PLEKHB1",10,12,8,69,2,34,20
"396","ENSG00000021355","SERPINB1",36,69,20,57,46,12,47
"397","ENSG00000021461","CYP3A43",0.1,0,0.3,0.1,0,0,0.2
"398","ENSG00000021488","SLC7A9",0,0.1,0,0.2,0.3,0.1,0.1
"399","ENSG00000021574","SPAST",29,42,28,23,28,25,34
"400","ENSG00000021645","NRXN3",4,3,8,0.4,2,0.8,0.1
"401","ENSG00000021762","OSBPL5",15,8,7,9,11,12,11
